@relation R_data_frame

@attribute Lines_Of_Program numeric
@attribute Physic_Lines numeric
@attribute n1_Number_Of_Distinct_Operators numeric
@attribute n2_Number_Of_Distinct_Operands numeric
@attribute n_Program_Vocabulary numeric
@attribute N1_Total_Number_Of_Operators numeric
@attribute N2_Total_Number_Of_Operands numeric
@attribute N_Program_Length numeric
@attribute B_Number_of_Delivered_Bugs_1 numeric
@attribute B_Number_of_Delivered_Bugs_2 numeric
@attribute D_Difficulty numeric
@attribute E_Effort numeric
@attribute T_Time_Required_To_Program numeric
@attribute V_Volume numeric
@attribute _N_Calculated_Program_Length numeric
@attribute McCab_Number numeric
@attribute IsVulnerable {no,yes}

@data
5,5,7,14,21,26,20,46,0.000333,0.067349,3.000000,606.139804,33.674434,202.046601,72.954453,2,no
5,5,7,14,21,26,20,46,0.000333,0.067349,3.000000,606.139804,33.674434,202.046601,72.954453,2,no
55,55,22,62,84,406,286,692,0.000333,1.474495,44.000000,194633.280889,10812.960049,4423.483657,467.267667,32,no
5,5,13,16,29,37,26,63,0.000333,0.102018,6.000000,1836.316816,102.017601,306.052803,112.105716,2,no
7,7,10,15,25,30,24,54,0.000333,0.083589,5.000000,1253.841171,69.657843,250.768234,91.822640,2,no
6,6,13,13,26,30,22,52,0.000333,0.081474,6.000000,1466.537192,81.474288,244.422865,96.211433,2,no
12,12,14,15,29,70,48,118,0.000333,0.191081,21.000000,12038.076906,668.782050,573.241757,111.906328,1,no
19,19,15,26,41,94,71,165,0.000333,0.294665,14.000000,12375.945131,687.552507,883.996081,180.814792,2,no
19,19,15,26,41,94,71,165,0.000333,0.294665,14.000000,12375.945131,687.552507,883.996081,180.814792,2,no
4,4,11,6,17,19,10,29,0.000333,0.039512,5.000000,592.682112,32.926784,118.536422,53.563523,3,no
4,4,11,6,17,19,10,29,0.000333,0.039512,5.000000,592.682112,32.926784,118.536422,53.563523,3,no
3,3,6,7,13,13,10,23,0.000333,0.028370,3.000000,255.330341,14.185019,85.110114,35.161259,4,no
13,13,18,43,61,142,82,224,0.000333,0.442828,9.000000,11956.366473,664.242582,1328.485164,308.388034,1,no
13,13,16,30,46,70,52,122,0.000333,0.224625,8.000000,5390.996469,299.499804,673.874559,211.206718,4,no
28,28,17,36,53,140,127,267,0.000333,0.509785,24.000000,36704.514273,2039.139682,1529.354761,255.604168,3,no
6,6,10,14,24,23,20,43,0.000333,0.065718,5.000000,985.766938,54.764830,197.153388,86.522250,1,no
4,4,9,12,21,17,15,32,0.000333,0.046851,4.000000,562.216630,31.234257,140.554158,71.548875,1,no
5,5,9,16,25,21,20,41,0.000333,0.063466,4.000000,761.592415,42.310690,190.398104,92.529325,1,no
4,4,12,8,20,17,11,28,0.000333,0.040338,6.000000,726.083920,40.337996,121.013987,67.019550,2,no
3,3,7,7,14,20,11,31,0.000333,0.039343,3.000000,354.084008,19.671334,118.028003,39.302969,2,no
3,3,7,7,14,20,11,31,0.000333,0.039343,3.000000,354.084008,19.671334,118.028003,39.302969,2,no
3,3,11,10,21,22,15,37,0.000333,0.054172,5.000000,812.578723,45.143262,162.515745,71.273029,2,no
4,4,11,9,20,22,14,36,0.000333,0.051863,5.000000,777.947057,43.219281,155.589411,66.583073,2,no
